fam;name;surname;position;salary;age;experience
Иванов;Иван;Иванович;директор;300000;50;10
Петров;Петр;Петрович;главбух;100000;45;9
Сидоров;Иван;Семенович;рабочий;50000;40;7
Кустов;Петр;Георгиевич;рабочий;40000;35;6
Иванников;Александр;Васильевич;рабочий;55000;47;8
Савельев;Сергей;Александрови;рабочий;40000;33;6
Немов;Максим;Владимирович;рабочий;65000;30;5
Сидоров1;Иван;Семенович;рабочий;35000;27;4
Кустов1;Петр;Георгиевич;рабочий;40000;33;6
Иванников1;Александр;Васильевич;рабочий;54000;47;8
Савельев1;Сергей;Александрови;рабочий;39000;33;6
Немов1;Максим;Владимирович;рабочий;38000;32;6
Сидоров2;Иван;Семенович;рабочий;49000;42;7
Кустов2;Петр;Георгиевич;рабочий;41000;33;6
Иванников2;Александр;Васильевич;рабочий;56000;47;8
Савельев2;Сергей;Александрови;рабочий;41000;33;6
Немов2;Максим;Владимирович;рабочий;35000;27;4
